Tipo de residuo;Tipo de tratamiento;Clase de peligrosidad;periodo;Total
TOTAL;Vertido;TOTAL GENERAL;2019;48.291.472
TOTAL;Vertido;TOTAL GENERAL;2018;58.811.441
TOTAL;Vertido;TOTAL GENERAL;2017;62.226.693
TOTAL;Vertido;TOTAL GENERAL;2016;57.250.551
TOTAL;Vertido;TOTAL GENERAL;2015;53.571.395
TOTAL;Vertido;TOTAL GENERAL;2014;49.534.273
TOTAL;Vertido;TOTAL GENERAL;2013;46.224.121
TOTAL;Vertido;TOTAL GENERAL;2012;48.259.328
TOTAL;Vertido;TOTAL GENERAL;2011;49.643.268
TOTAL;Vertido;TOTAL GENERAL;2010;49.464.293
TOTAL;Incineración;NO PELIGROSO;2020;3.413.395
TOTAL;Incineración;NO PELIGROSO;2019;3.766.975
TOTAL;Incineración;NO PELIGROSO;2018;3.560.870
TOTAL;Incineración;NO PELIGROSO;2017;3.930.714
TOTAL;Incineración;NO PELIGROSO;2016;3.693.473
TOTAL;Incineración;NO PELIGROSO;2015;3.488.099
TOTAL;Incineración;NO PELIGROSO;2014;3.405.869
TOTAL;Incineración;NO PELIGROSO;2013;3.426.600
TOTAL;Incineración;NO PELIGROSO;2012;3.112.542
TOTAL;Incineración;NO PELIGROSO;2011;3.253.112
TOTAL;Incineración;NO PELIGROSO;2010;2.711.236
TOTAL;Incineración;PELIGROSO;2020;134.584
TOTAL;Incineración;PELIGROSO;2019;164.608
TOTAL;Incineración;PELIGROSO;2018;159.808
TOTAL;Incineración;PELIGROSO;2017;136.513
TOTAL;Incineración;PELIGROSO;2016;149.171
TOTAL;Incineración;PELIGROSO;2015;167.220
TOTAL;Incineración;PELIGROSO;2014;137.741
TOTAL;Incineración;PELIGROSO;2013;142.740
TOTAL;Incineración;PELIGROSO;2012;163.968
TOTAL;Incineración;PELIGROSO;2011;145.583
TOTAL;Incineración;PELIGROSO;2010;223.544
TOTAL;Incineración;TOTAL GENERAL;2020;3.547.979
TOTAL;Incineración;TOTAL GENERAL;2019;3.931.583
TOTAL;Incineración;TOTAL GENERAL;2018;3.720.678
TOTAL;Incineración;TOTAL GENERAL;2017;4.067.227
TOTAL;Incineración;TOTAL GENERAL;2016;3.842.644
TOTAL;Incineración;TOTAL GENERAL;2015;3.655.319
TOTAL;Incineración;TOTAL GENERAL;2014;3.543.610
TOTAL;Incineración;TOTAL GENERAL;2013;3.569.340
TOTAL;Incineración;TOTAL GENERAL;2012;3.276.510
TOTAL;Incineración;TOTAL GENERAL;2011;3.398.695
TOTAL;Incineración;TOTAL GENERAL;2010;2.934.780
TOTAL;Total;NO PELIGROSO;2020;84.230.344
TOTAL;Total;NO PELIGROSO;2019;113.676.718
TOTAL;Total;NO PELIGROSO;2018;119.647.782
TOTAL;Total;NO PELIGROSO;2017;113.204.474
TOTAL;Total;NO PELIGROSO;2016;104.596.799
TOTAL;Total;NO PELIGROSO;2015;105.498.743
TOTAL;Total;NO PELIGROSO;2014;101.075.803
TOTAL;Total;NO PELIGROSO;2013;94.891.479
TOTAL;Total;NO PELIGROSO;2012;106.054.454
TOTAL;Total;NO PELIGROSO;2011;110.066.318
TOTAL;Total;NO PELIGROSO;2010;129.944.346
TOTAL;Total;PELIGROSO;2020;2.180.841
TOTAL;Total;PELIGROSO;2019;2.203.098
TOTAL;Total;PELIGROSO;2018;2.309.774
TOTAL;Total;PELIGROSO;2017;2.281.821
TOTAL;Total;PELIGROSO;2016;2.118.460
TOTAL;Total;PELIGROSO;2015;2.277.102
TOTAL;Total;PELIGROSO;2014;2.321.536
TOTAL;Total;PELIGROSO;2013;2.410.991
TOTAL;Total;PELIGROSO;2012;2.420.583
TOTAL;Total;PELIGROSO;2011;2.722.385
TOTAL;Total;PELIGROSO;2010;2.743.636
TOTAL;Total;TOTAL GENERAL;2020;86.411.185
