Tipo de residuo;Tipo de tratamiento;Clase de peligrosidad;periodo;Total
05. Residuos sanitarios y biológicos;Vertido;PELIGROSO;2016;0
05. Residuos sanitarios y biológicos;Vertido;PELIGROSO;2015;0
05. Residuos sanitarios y biológicos;Vertido;PELIGROSO;2014;0
05. Residuos sanitarios y biológicos;Vertido;PELIGROSO;2013;0
05. Residuos sanitarios y biológicos;Vertido;PELIGROSO;2012;106
05. Residuos sanitarios y biológicos;Vertido;PELIGROSO;2011;20.447
05. Residuos sanitarios y biológicos;Vertido;PELIGROSO;2010;40.056
05. Residuos sanitarios y biológicos;Vertido;TOTAL GENERAL;2020;24.241
05. Residuos sanitarios y biológicos;Vertido;TOTAL GENERAL;2019;31.057
05. Residuos sanitarios y biológicos;Vertido;TOTAL GENERAL;2018;23.266
05. Residuos sanitarios y biológicos;Vertido;TOTAL GENERAL;2017;16.477
05. Residuos sanitarios y biológicos;Vertido;TOTAL GENERAL;2016;22.371
05. Residuos sanitarios y biológicos;Vertido;TOTAL GENERAL;2015;23.818
05. Residuos sanitarios y biológicos;Vertido;TOTAL GENERAL;2014;14.498
05. Residuos sanitarios y biológicos;Vertido;TOTAL GENERAL;2013;10.346
05. Residuos sanitarios y biológicos;Vertido;TOTAL GENERAL;2012;13.683
05. Residuos sanitarios y biológicos;Vertido;TOTAL GENERAL;2011;35.070
05. Residuos sanitarios y biológicos;Vertido;TOTAL GENERAL;2010;359.094
05. Residuos sanitarios y biológicos;Incineración;NO PELIGROSO;2020;2.397
05. Residuos sanitarios y biológicos;Incineración;NO PELIGROSO;2019;2.398
05. Residuos sanitarios y biológicos;Incineración;NO PELIGROSO;2018;2.370
05. Residuos sanitarios y biológicos;Incineración;NO PELIGROSO;2017;2.128
05. Residuos sanitarios y biológicos;Incineración;NO PELIGROSO;2016;2.039
05. Residuos sanitarios y biológicos;Incineración;NO PELIGROSO;2015;2.145
05. Residuos sanitarios y biológicos;Incineración;NO PELIGROSO;2014;1.750
05. Residuos sanitarios y biológicos;Incineración;NO PELIGROSO;2013;1.766
05. Residuos sanitarios y biológicos;Incineración;NO PELIGROSO;2012;1.481
05. Residuos sanitarios y biológicos;Incineración;NO PELIGROSO;2011;117
05. Residuos sanitarios y biológicos;Incineración;NO PELIGROSO;2010;47.262
05. Residuos sanitarios y biológicos;Incineración;PELIGROSO;2020;1.645
05. Residuos sanitarios y biológicos;Incineración;PELIGROSO;2019;3.588
05. Residuos sanitarios y biológicos;Incineración;PELIGROSO;2018;3.024
05. Residuos sanitarios y biológicos;Incineración;PELIGROSO;2017;3.131
05. Residuos sanitarios y biológicos;Incineración;PELIGROSO;2016;2.809
05. Residuos sanitarios y biológicos;Incineración;PELIGROSO;2015;2.942
05. Residuos sanitarios y biológicos;Incineración;PELIGROSO;2014;3.343
05. Residuos sanitarios y biológicos;Incineración;PELIGROSO;2013;3.236
05. Residuos sanitarios y biológicos;Incineración;PELIGROSO;2012;4.418
05. Residuos sanitarios y biológicos;Incineración;PELIGROSO;2011;4.685
05. Residuos sanitarios y biológicos;Incineración;PELIGROSO;2010;11.931
05. Residuos sanitarios y biológicos;Incineración;TOTAL GENERAL;2020;4.042
05. Residuos sanitarios y biológicos;Incineración;TOTAL GENERAL;2019;5.986
05. Residuos sanitarios y biológicos;Incineración;TOTAL GENERAL;2018;5.394
05. Residuos sanitarios y biológicos;Incineración;TOTAL GENERAL;2017;5.259
05. Residuos sanitarios y biológicos;Incineración;TOTAL GENERAL;2016;4.848
05. Residuos sanitarios y biológicos;Incineración;TOTAL GENERAL;2015;5.087
05. Residuos sanitarios y biológicos;Incineración;TOTAL GENERAL;2014;5.093
05. Residuos sanitarios y biológicos;Incineración;TOTAL GENERAL;2013;5.002
05. Residuos sanitarios y biológicos;Incineración;TOTAL GENERAL;2012;5.899
05. Residuos sanitarios y biológicos;Incineración;TOTAL GENERAL;2011;4.802
05. Residuos sanitarios y biológicos;Incineración;TOTAL GENERAL;2010;59.193
05. Residuos sanitarios y biológicos;Total;NO PELIGROSO;2020;26.638
05. Residuos sanitarios y biológicos;Total;NO PELIGROSO;2019;33.455
05. Residuos sanitarios y biológicos;Total;NO PELIGROSO;2018;25.636
05. Residuos sanitarios y biológicos;Total;NO PELIGROSO;2017;18.605
05. Residuos sanitarios y biológicos;Total;NO PELIGROSO;2016;24.410
05. Residuos sanitarios y biológicos;Total;NO PELIGROSO;2015;25.963
05. Residuos sanitarios y biológicos;Total;NO PELIGROSO;2014;16.248
05. Residuos sanitarios y biológicos;Total;NO PELIGROSO;2013;12.112
05. Residuos sanitarios y biológicos;Total;NO PELIGROSO;2012;15.058
05. Residuos sanitarios y biológicos;Total;NO PELIGROSO;2011;15.673
05. Residuos sanitarios y biológicos;Total;NO PELIGROSO;2010;376.891
05. Residuos sanitarios y biológicos;Total;PELIGROSO;2020;6.171
05. Residuos sanitarios y biológicos;Total;PELIGROSO;2019;3.593
05. Residuos sanitarios y biológicos;Total;PELIGROSO;2018;3.030
05. Residuos sanitarios y biológicos;Total;PELIGROSO;2017;3.134
05. Residuos sanitarios y biológicos;Total;PELIGROSO;2016;2.817
05. Residuos sanitarios y biológicos;Total;PELIGROSO;2015;2.950
05. Residuos sanitarios y biológicos;Total;PELIGROSO;2014;3.362
05. Residuos sanitarios y biológicos;Total;PELIGROSO;2013;3.248
05. Residuos sanitarios y biológicos;Total;PELIGROSO;2012;4.546
05. Residuos sanitarios y biológicos;Total;PELIGROSO;2011;25.675
05. Residuos sanitarios y biológicos;Total;PELIGROSO;2010;99.172
05. Residuos sanitarios y biológicos;Total;TOTAL GENERAL;2020;32.809
05. Residuos sanitarios y biológicos;Total;TOTAL GENERAL;2019;37.048
05. Residuos sanitarios y biológicos;Total;TOTAL GENERAL;2018;28.666
05. Residuos sanitarios y biológicos;Total;TOTAL GENERAL;2017;21.739
05. Residuos sanitarios y biológicos;Total;TOTAL GENERAL;2016;27.227
05. Residuos sanitarios y biológicos;Total;TOTAL GENERAL;2015;28.913
05. Residuos sanitarios y biológicos;Total;TOTAL GENERAL;2014;19.610
05. Residuos sanitarios y biológicos;Total;TOTAL GENERAL;2013;15.360
05. Residuos sanitarios y biológicos;Total;TOTAL GENERAL;2012;19.604
05. Residuos sanitarios y biológicos;Total;TOTAL GENERAL;2011;41.348
05. Residuos sanitarios y biológicos;Total;TOTAL GENERAL;2010;476.063
06. Residuos metálicos;Recuperación;NO PELIGROSO;2020;8.613.817
06. Residuos metálicos;Recuperación;NO PELIGROSO;2019;10.270.084
06. Residuos metálicos;Recuperación;NO PELIGROSO;2018;10.747.616
06. Residuos metálicos;Recuperación;NO PELIGROSO;2017;10.595.206
06. Residuos metálicos;Recuperación;NO PELIGROSO;2016;9.089.504
06. Residuos metálicos;Recuperación;NO PELIGROSO;2015;11.075.203
06. Residuos metálicos;Recuperación;NO PELIGROSO;2014;12.251.122
06. Residuos metálicos;Recuperación;NO PELIGROSO;2013;9.569.931
06. Residuos metálicos;Recuperación;NO PELIGROSO;2012;10.108.854
06. Residuos metálicos;Recuperación;NO PELIGROSO;2011;5.514.593
06. Residuos metálicos;Recuperación;NO PELIGROSO;2010;5.520.894
06. Residuos metálicos;Recuperación;PELIGROSO;2020;..
06. Residuos metálicos;Recuperación;PELIGROSO;2019;..
06. Residuos metálicos;Recuperación;PELIGROSO;2018;..
06. Residuos metálicos;Recuperación;PELIGROSO;2017;..
06. Residuos metálicos;Recuperación;PELIGROSO;2016;..
06. Residuos metálicos;Recuperación;PELIGROSO;2015;..
06. Residuos metálicos;Recuperación;PELIGROSO;2014;..
06. Residuos metálicos;Recuperación;PELIGROSO;2013;..
06. Residuos metálicos;Recuperación;PELIGROSO;2012;0
06. Residuos metálicos;Recuperación;PELIGROSO;2011;..
06. Residuos metálicos;Recuperación;PELIGROSO;2010;0
06. Residuos metálicos;Recuperación;TOTAL GENERAL;2020;8.613.817
06. Residuos metálicos;Recuperación;TOTAL GENERAL;2019;10.270.084
06. Residuos metálicos;Recuperación;TOTAL GENERAL;2018;10.747.616
06. Residuos metálicos;Recuperación;TOTAL GENERAL;2017;10.595.206
06. Residuos metálicos;Recuperación;TOTAL GENERAL;2016;9.089.504
06. Residuos metálicos;Recuperación;TOTAL GENERAL;2015;11.075.203
06. Residuos metálicos;Recuperación;TOTAL GENERAL;2014;12.251.122
06. Residuos metálicos;Recuperación;TOTAL GENERAL;2013;9.569.931
06. Residuos metálicos;Recuperación;TOTAL GENERAL;2012;10.108.854
06. Residuos metálicos;Recuperación;TOTAL GENERAL;2011;5.514.593
06. Residuos metálicos;Recuperación;TOTAL GENERAL;2010;5.520.894
06. Residuos metálicos;Operaciones de relleno;NO PELIGROSO;2020;0
06. Residuos metálicos;Operaciones de relleno;NO PELIGROSO;2019;0
06. Residuos metálicos;Operaciones de relleno;NO PELIGROSO;2018;0
06. Residuos metálicos;Operaciones de relleno;NO PELIGROSO;2017;0
06. Residuos metálicos;Operaciones de relleno;NO PELIGROSO;2016;0
06. Residuos metálicos;Operaciones de relleno;NO PELIGROSO;2015;0
06. Residuos metálicos;Operaciones de relleno;NO PELIGROSO;2014;0
06. Residuos metálicos;Operaciones de relleno;NO PELIGROSO;2013;0
06. Residuos metálicos;Operaciones de relleno;NO PELIGROSO;2012;0
06. Residuos metálicos;Operaciones de relleno;NO PELIGROSO;2011;0
06. Residuos metálicos;Operaciones de relleno;NO PELIGROSO;2010;0
06. Residuos metálicos;Operaciones de relleno;PELIGROSO;2020;..
06. Residuos metálicos;Operaciones de relleno;PELIGROSO;2019;..
06. Residuos metálicos;Operaciones de relleno;PELIGROSO;2018;..
06. Residuos metálicos;Operaciones de relleno;PELIGROSO;2017;..
06. Residuos metálicos;Operaciones de relleno;PELIGROSO;2016;..
06. Residuos metálicos;Operaciones de relleno;PELIGROSO;2015;..
06. Residuos metálicos;Operaciones de relleno;PELIGROSO;2014;..
06. Residuos metálicos;Operaciones de relleno;PELIGROSO;2013;..
06. Residuos metálicos;Operaciones de relleno;PELIGROSO;2012;0
06. Residuos metálicos;Operaciones de relleno;PELIGROSO;2011;..
06. Residuos metálicos;Operaciones de relleno;PELIGROSO;2010;0
06. Residuos metálicos;Operaciones de relleno;TOTAL GENERAL;2020;0
06. Residuos metálicos;Operaciones de relleno;TOTAL GENERAL;2019;0
06. Residuos metálicos;Operaciones de relleno;TOTAL GENERAL;2018;0
06. Residuos metálicos;Operaciones de relleno;TOTAL GENERAL;2017;0
06. Residuos metálicos;Operaciones de relleno;TOTAL GENERAL;2016;0
06. Residuos metálicos;Operaciones de relleno;TOTAL GENERAL;2015;0
06. Residuos metálicos;Operaciones de relleno;TOTAL GENERAL;2014;0
06. Residuos metálicos;Operaciones de relleno;TOTAL GENERAL;2013;0
06. Residuos metálicos;Operaciones de relleno;TOTAL GENERAL;2012;0
06. Residuos metálicos;Operaciones de relleno;TOTAL GENERAL;2011;0
06. Residuos metálicos;Operaciones de relleno;TOTAL GENERAL;2010;0
06. Residuos metálicos;Vertido;NO PELIGROSO;2020;26.653
06. Residuos metálicos;Vertido;NO PELIGROSO;2019;15.256
06. Residuos metálicos;Vertido;NO PELIGROSO;2018;6.261
06. Residuos metálicos;Vertido;NO PELIGROSO;2017;7.497
06. Residuos metálicos;Vertido;NO PELIGROSO;2016;4.747
06. Residuos metálicos;Vertido;NO PELIGROSO;2015;6.837
06. Residuos metálicos;Vertido;NO PELIGROSO;2014;2.505
06. Residuos metálicos;Vertido;NO PELIGROSO;2013;13.932
06. Residuos metálicos;Vertido;NO PELIGROSO;2012;24.990
06. Residuos metálicos;Vertido;NO PELIGROSO;2011;84.548
06. Residuos metálicos;Vertido;NO PELIGROSO;2010;203.473
06. Residuos metálicos;Vertido;PELIGROSO;2020;..
06. Residuos metálicos;Vertido;PELIGROSO;2019;..
06. Residuos metálicos;Vertido;PELIGROSO;2018;..
06. Residuos metálicos;Vertido;PELIGROSO;2017;..
06. Residuos metálicos;Vertido;PELIGROSO;2016;..
06. Residuos metálicos;Vertido;PELIGROSO;2015;..
06. Residuos metálicos;Vertido;PELIGROSO;2014;..
06. Residuos metálicos;Vertido;PELIGROSO;2013;..
06. Residuos metálicos;Vertido;PELIGROSO;2012;0
06. Residuos metálicos;Vertido;PELIGROSO;2011;..
06. Residuos metálicos;Vertido;PELIGROSO;2010;0
06. Residuos metálicos;Vertido;TOTAL GENERAL;2020;26.653
06. Residuos metálicos;Vertido;TOTAL GENERAL;2019;15.256
06. Residuos metálicos;Vertido;TOTAL GENERAL;2018;6.261
06. Residuos metálicos;Vertido;TOTAL GENERAL;2017;7.497
06. Residuos metálicos;Vertido;TOTAL GENERAL;2016;4.747
06. Residuos metálicos;Vertido;TOTAL GENERAL;2015;6.837
06. Residuos metálicos;Vertido;TOTAL GENERAL;2014;2.505
06. Residuos metálicos;Vertido;TOTAL GENERAL;2013;13.932
06. Residuos metálicos;Vertido;TOTAL GENERAL;2012;24.990
06. Residuos metálicos;Vertido;TOTAL GENERAL;2011;84.548
06. Residuos metálicos;Vertido;TOTAL GENERAL;2010;203.473
06. Residuos metálicos;Incineración;NO PELIGROSO;2020;5.390
06. Residuos metálicos;Incineración;NO PELIGROSO;2019;0
06. Residuos metálicos;Incineración;NO PELIGROSO;2018;0
06. Residuos metálicos;Incineración;NO PELIGROSO;2017;0
06. Residuos metálicos;Incineración;NO PELIGROSO;2016;0
06. Residuos metálicos;Incineración;NO PELIGROSO;2015;0
06. Residuos metálicos;Incineración;NO PELIGROSO;2014;0
06. Residuos metálicos;Incineración;NO PELIGROSO;2013;0
06. Residuos metálicos;Incineración;NO PELIGROSO;2012;0
06. Residuos metálicos;Incineración;NO PELIGROSO;2011;0
06. Residuos metálicos;Incineración;NO PELIGROSO;2010;0
06. Residuos metálicos;Incineración;PELIGROSO;2020;..
06. Residuos metálicos;Incineración;PELIGROSO;2019;..
06. Residuos metálicos;Incineración;PELIGROSO;2018;..
06. Residuos metálicos;Incineración;PELIGROSO;2017;..
06. Residuos metálicos;Incineración;PELIGROSO;2016;..
06. Residuos metálicos;Incineración;PELIGROSO;2015;..
06. Residuos metálicos;Incineración;PELIGROSO;2014;..
06. Residuos metálicos;Incineración;PELIGROSO;2013;..
06. Residuos metálicos;Incineración;PELIGROSO;2012;0
06. Residuos metálicos;Incineración;PELIGROSO;2011;..
06. Residuos metálicos;Incineración;PELIGROSO;2010;0
06. Residuos metálicos;Incineración;TOTAL GENERAL;2020;5.390
06. Residuos metálicos;Incineración;TOTAL GENERAL;2019;0
06. Residuos metálicos;Incineración;TOTAL GENERAL;2018;0
06. Residuos metálicos;Incineración;TOTAL GENERAL;2017;0
06. Residuos metálicos;Incineración;TOTAL GENERAL;2016;0
06. Residuos metálicos;Incineración;TOTAL GENERAL;2015;0
06. Residuos metálicos;Incineración;TOTAL GENERAL;2014;0
06. Residuos metálicos;Incineración;TOTAL GENERAL;2013;0
06. Residuos metálicos;Incineración;TOTAL GENERAL;2012;0
06. Residuos metálicos;Incineración;TOTAL GENERAL;2011;0
06. Residuos metálicos;Incineración;TOTAL GENERAL;2010;0
06. Residuos metálicos;Total;NO PELIGROSO;2020;8.645.860
06. Residuos metálicos;Total;NO PELIGROSO;2019;10.285.340
06. Residuos metálicos;Total;NO PELIGROSO;2018;10.753.877
06. Residuos metálicos;Total;NO PELIGROSO;2017;10.602.703
06. Residuos metálicos;Total;NO PELIGROSO;2016;9.094.251
06. Residuos metálicos;Total;NO PELIGROSO;2015;11.082.040
06. Residuos metálicos;Total;NO PELIGROSO;2014;12.253.627
06. Residuos metálicos;Total;NO PELIGROSO;2013;9.583.863
06. Residuos metálicos;Total;NO PELIGROSO;2012;10.133.844
06. Residuos metálicos;Total;NO PELIGROSO;2011;5.599.141
06. Residuos metálicos;Total;NO PELIGROSO;2010;5.724.367
06. Residuos metálicos;Total;PELIGROSO;2020;..
06. Residuos metálicos;Total;PELIGROSO;2019;..
06. Residuos metálicos;Total;PELIGROSO;2018;..
06. Residuos metálicos;Total;PELIGROSO;2017;..
06. Residuos metálicos;Total;PELIGROSO;2016;..
06. Residuos metálicos;Total;PELIGROSO;2015;..
06. Residuos metálicos;Total;PELIGROSO;2014;..
06. Residuos metálicos;Total;PELIGROSO;2013;..
06. Residuos metálicos;Total;PELIGROSO;2012;0
06. Residuos metálicos;Total;PELIGROSO;2011;..
06. Residuos metálicos;Total;PELIGROSO;2010;0
06. Residuos metálicos;Total;TOTAL GENERAL;2020;8.645.860
06. Residuos metálicos;Total;TOTAL GENERAL;2019;10.285.340
06. Residuos metálicos;Total;TOTAL GENERAL;2018;10.753.877
06. Residuos metálicos;Total;TOTAL GENERAL;2017;10.602.703
06. Residuos metálicos;Total;TOTAL GENERAL;2016;9.094.251
06. Residuos metálicos;Total;TOTAL GENERAL;2015;11.082.040
06. Residuos metálicos;Total;TOTAL GENERAL;2014;12.253.627
06. Residuos metálicos;Total;TOTAL GENERAL;2013;9.583.863
06. Residuos metálicos;Total;TOTAL GENERAL;2012;10.133.844
06. Residuos metálicos;Total;TOTAL GENERAL;2011;5.599.141
06. Residuos metálicos;Total;TOTAL GENERAL;2010;5.724.367
07.1. Residuos de vidrio;Recuperación;NO PELIGROSO;2020;1.061.440
07.1. Residuos de vidrio;Recuperación;NO PELIGROSO;2019;1.295.165
07.1. Residuos de vidrio;Recuperación;NO PELIGROSO;2018;1.115.626
07.1. Residuos de vidrio;Recuperación;NO PELIGROSO;2017;1.008.495
07.1. Residuos de vidrio;Recuperación;NO PELIGROSO;2016;991.882
07.1. Residuos de vidrio;Recuperación;NO PELIGROSO;2015;947.961
07.1. Residuos de vidrio;Recuperación;NO PELIGROSO;2014;1.023.685
07.1. Residuos de vidrio;Recuperación;NO PELIGROSO;2013;1.091.206
07.1. Residuos de vidrio;Recuperación;NO PELIGROSO;2012;1.145.433
07.1. Residuos de vidrio;Recuperación;NO PELIGROSO;2011;950.429
07.1. Residuos de vidrio;Recuperación;NO PELIGROSO;2010;1.128.304
07.1. Residuos de vidrio;Recuperación;PELIGROSO;2020;0
07.1. Residuos de vidrio;Recuperación;PELIGROSO;2019;0
07.1. Residuos de vidrio;Recuperación;PELIGROSO;2018;0
07.1. Residuos de vidrio;Recuperación;PELIGROSO;2017;0
07.1. Residuos de vidrio;Recuperación;PELIGROSO;2016;1
07.1. Residuos de vidrio;Recuperación;PELIGROSO;2015;10
07.1. Residuos de vidrio;Recuperación;PELIGROSO;2014;0
07.1. Residuos de vidrio;Recuperación;PELIGROSO;2013;2
07.1. Residuos de vidrio;Recuperación;PELIGROSO;2012;1
07.1. Residuos de vidrio;Recuperación;PELIGROSO;2011;16.202
07.1. Residuos de vidrio;Recuperación;PELIGROSO;2010;18.678
07.1. Residuos de vidrio;Recuperación;TOTAL GENERAL;2020;1.061.440
07.1. Residuos de vidrio;Recuperación;TOTAL GENERAL;2019;1.295.165
07.1. Residuos de vidrio;Recuperación;TOTAL GENERAL;2018;1.115.626
07.1. Residuos de vidrio;Recuperación;TOTAL GENERAL;2017;1.008.495
07.1. Residuos de vidrio;Recuperación;TOTAL GENERAL;2016;991.883
07.1. Residuos de vidrio;Recuperación;TOTAL GENERAL;2015;947.971
07.1. Residuos de vidrio;Recuperación;TOTAL GENERAL;2014;1.023.685
07.1. Residuos de vidrio;Recuperación;TOTAL GENERAL;2013;1.091.208
07.1. Residuos de vidrio;Recuperación;TOTAL GENERAL;2012;1.145.433
07.1. Residuos de vidrio;Recuperación;TOTAL GENERAL;2011;966.631
07.1. Residuos de vidrio;Recuperación;TOTAL GENERAL;2010;1.146.982
07.1. Residuos de vidrio;Operaciones de relleno;NO PELIGROSO;2020;0
07.1. Residuos de vidrio;Operaciones de relleno;NO PELIGROSO;2019;0
07.1. Residuos de vidrio;Operaciones de relleno;NO PELIGROSO;2018;0
07.1. Residuos de vidrio;Operaciones de relleno;NO PELIGROSO;2017;0
07.1. Residuos de vidrio;Operaciones de relleno;NO PELIGROSO;2016;3
07.1. Residuos de vidrio;Operaciones de relleno;NO PELIGROSO;2015;0
07.1. Residuos de vidrio;Operaciones de relleno;NO PELIGROSO;2014;0
07.1. Residuos de vidrio;Operaciones de relleno;NO PELIGROSO;2013;0
07.1. Residuos de vidrio;Operaciones de relleno;NO PELIGROSO;2012;0
07.1. Residuos de vidrio;Operaciones de relleno;NO PELIGROSO;2011;0
07.1. Residuos de vidrio;Operaciones de relleno;NO PELIGROSO;2010;0
07.1. Residuos de vidrio;Operaciones de relleno;PELIGROSO;2020;0
07.1. Residuos de vidrio;Operaciones de relleno;PELIGROSO;2019;0
07.1. Residuos de vidrio;Operaciones de relleno;PELIGROSO;2018;0
07.1. Residuos de vidrio;Operaciones de relleno;PELIGROSO;2017;0
07.1. Residuos de vidrio;Operaciones de relleno;PELIGROSO;2016;0
07.1. Residuos de vidrio;Operaciones de relleno;PELIGROSO;2015;0
07.1. Residuos de vidrio;Operaciones de relleno;PELIGROSO;2014;0
07.1. Residuos de vidrio;Operaciones de relleno;PELIGROSO;2013;0
07.1. Residuos de vidrio;Operaciones de relleno;PELIGROSO;2012;0
07.1. Residuos de vidrio;Operaciones de relleno;PELIGROSO;2011;0
07.1. Residuos de vidrio;Operaciones de relleno;PELIGROSO;2010;0
07.1. Residuos de vidrio;Operaciones de relleno;TOTAL GENERAL;2020;0
07.1. Residuos de vidrio;Operaciones de relleno;TOTAL GENERAL;2019;0
07.1. Residuos de vidrio;Operaciones de relleno;TOTAL GENERAL;2018;0
07.1. Residuos de vidrio;Operaciones de relleno;TOTAL GENERAL;2017;0
07.1. Residuos de vidrio;Operaciones de relleno;TOTAL GENERAL;2016;3
07.1. Residuos de vidrio;Operaciones de relleno;TOTAL GENERAL;2015;0
07.1. Residuos de vidrio;Operaciones de relleno;TOTAL GENERAL;2014;0
07.1. Residuos de vidrio;Operaciones de relleno;TOTAL GENERAL;2013;0
07.1. Residuos de vidrio;Operaciones de relleno;TOTAL GENERAL;2012;0
07.1. Residuos de vidrio;Operaciones de relleno;TOTAL GENERAL;2011;0
07.1. Residuos de vidrio;Operaciones de relleno;TOTAL GENERAL;2010;0
07.1. Residuos de vidrio;Vertido;NO PELIGROSO;2020;7.693
07.1. Residuos de vidrio;Vertido;NO PELIGROSO;2019;4.402
07.1. Residuos de vidrio;Vertido;NO PELIGROSO;2018;4.591
07.1. Residuos de vidrio;Vertido;NO PELIGROSO;2017;6.668
07.1. Residuos de vidrio;Vertido;NO PELIGROSO;2016;27.083
07.1. Residuos de vidrio;Vertido;NO PELIGROSO;2015;13.631
07.1. Residuos de vidrio;Vertido;NO PELIGROSO;2014;8.147
07.1. Residuos de vidrio;Vertido;NO PELIGROSO;2013;4.177
07.1. Residuos de vidrio;Vertido;NO PELIGROSO;2012;7.862
07.1. Residuos de vidrio;Vertido;NO PELIGROSO;2011;10.770
07.1. Residuos de vidrio;Vertido;NO PELIGROSO;2010;10.937
07.1. Residuos de vidrio;Vertido;PELIGROSO;2020;0
07.1. Residuos de vidrio;Vertido;PELIGROSO;2019;254
07.1. Residuos de vidrio;Vertido;PELIGROSO;2018;392
07.1. Residuos de vidrio;Vertido;PELIGROSO;2017;364
07.1. Residuos de vidrio;Vertido;PELIGROSO;2016;248
07.1. Residuos de vidrio;Vertido;PELIGROSO;2015;223
07.1. Residuos de vidrio;Vertido;PELIGROSO;2014;268
07.1. Residuos de vidrio;Vertido;PELIGROSO;2013;490
07.1. Residuos de vidrio;Vertido;PELIGROSO;2012;1.013
07.1. Residuos de vidrio;Vertido;PELIGROSO;2011;37.442
07.1. Residuos de vidrio;Vertido;PELIGROSO;2010;27.326
07.1. Residuos de vidrio;Vertido;TOTAL GENERAL;2020;7.693
07.1. Residuos de vidrio;Vertido;TOTAL GENERAL;2019;4.656
07.1. Residuos de vidrio;Vertido;TOTAL GENERAL;2018;4.983
07.1. Residuos de vidrio;Vertido;TOTAL GENERAL;2017;7.032
07.1. Residuos de vidrio;Vertido;TOTAL GENERAL;2016;27.331
07.1. Residuos de vidrio;Vertido;TOTAL GENERAL;2015;13.854
07.1. Residuos de vidrio;Vertido;TOTAL GENERAL;2014;8.415
07.1. Residuos de vidrio;Vertido;TOTAL GENERAL;2013;4.667
07.1. Residuos de vidrio;Vertido;TOTAL GENERAL;2012;8.875
07.1. Residuos de vidrio;Vertido;TOTAL GENERAL;2011;48.212
07.1. Residuos de vidrio;Vertido;TOTAL GENERAL;2010;38.263
07.1. Residuos de vidrio;Incineración;NO PELIGROSO;2020;0
07.1. Residuos de vidrio;Incineración;NO PELIGROSO;2019;0
07.1. Residuos de vidrio;Incineración;NO PELIGROSO;2018;1
07.1. Residuos de vidrio;Incineración;NO PELIGROSO;2017;1
07.1. Residuos de vidrio;Incineración;NO PELIGROSO;2016;1
07.1. Residuos de vidrio;Incineración;NO PELIGROSO;2015;1
07.1. Residuos de vidrio;Incineración;NO PELIGROSO;2014;1
07.1. Residuos de vidrio;Incineración;NO PELIGROSO;2013;0
07.1. Residuos de vidrio;Incineración;NO PELIGROSO;2012;0
07.1. Residuos de vidrio;Incineración;NO PELIGROSO;2011;0
07.1. Residuos de vidrio;Incineración;NO PELIGROSO;2010;0
07.1. Residuos de vidrio;Incineración;PELIGROSO;2020;0
07.1. Residuos de vidrio;Incineración;PELIGROSO;2019;0
07.1. Residuos de vidrio;Incineración;PELIGROSO;2018;0
07.1. Residuos de vidrio;Incineración;PELIGROSO;2017;0
07.1. Residuos de vidrio;Incineración;PELIGROSO;2016;0
07.1. Residuos de vidrio;Incineración;PELIGROSO;2015;0
07.1. Residuos de vidrio;Incineración;PELIGROSO;2014;0
07.1. Residuos de vidrio;Incineración;PELIGROSO;2013;0
07.1. Residuos de vidrio;Incineración;PELIGROSO;2012;0
07.1. Residuos de vidrio;Incineración;PELIGROSO;2011;0
07.1. Residuos de vidrio;Incineración;PELIGROSO;2010;23
07.1. Residuos de vidrio;Incineración;TOTAL GENERAL;2020;0
07.1. Residuos de vidrio;Incineración;TOTAL GENERAL;2019;0
07.1. Residuos de vidrio;Incineración;TOTAL GENERAL;2018;1
07.1. Residuos de vidrio;Incineración;TOTAL GENERAL;2017;1
07.1. Residuos de vidrio;Incineración;TOTAL GENERAL;2016;1
07.1. Residuos de vidrio;Incineración;TOTAL GENERAL;2015;1
07.1. Residuos de vidrio;Incineración;TOTAL GENERAL;2014;1
07.1. Residuos de vidrio;Incineración;TOTAL GENERAL;2013;0
07.1. Residuos de vidrio;Incineración;TOTAL GENERAL;2012;0
07.1. Residuos de vidrio;Incineración;TOTAL GENERAL;2011;0
07.1. Residuos de vidrio;Incineración;TOTAL GENERAL;2010;23
07.1. Residuos de vidrio;Total;NO PELIGROSO;2020;1.069.133
07.1. Residuos de vidrio;Total;NO PELIGROSO;2019;1.299.567
07.1. Residuos de vidrio;Total;NO PELIGROSO;2018;1.120.218
07.1. Residuos de vidrio;Total;NO PELIGROSO;2017;1.015.164
07.1. Residuos de vidrio;Total;NO PELIGROSO;2016;1.018.969
07.1. Residuos de vidrio;Total;NO PELIGROSO;2015;961.593
07.1. Residuos de vidrio;Total;NO PELIGROSO;2014;1.031.833
07.1. Residuos de vidrio;Total;NO PELIGROSO;2013;1.095.383
07.1. Residuos de vidrio;Total;NO PELIGROSO;2012;1.153.295
07.1. Residuos de vidrio;Total;NO PELIGROSO;2011;961.199
07.1. Residuos de vidrio;Total;NO PELIGROSO;2010;1.139.241
07.1. Residuos de vidrio;Total;PELIGROSO;2020;0
07.1. Residuos de vidrio;Total;PELIGROSO;2019;254
07.1. Residuos de vidrio;Total;PELIGROSO;2018;392
07.1. Residuos de vidrio;Total;PELIGROSO;2017;364
07.1. Residuos de vidrio;Total;PELIGROSO;2016;249
07.1. Residuos de vidrio;Total;PELIGROSO;2015;233
